Mese,Id Equipaggio,Delta Median,Reschedule Ratio,Norm Delta,Norm Reschedule,Composite,KPI
2,4277,35.7,0.0,0.916588785046729,1.0,0.972196261682243,96.24
2,4680,96.3,0.03260869565217391,0.775,0.9021739130434783,0.8597826086956523,81.06
2,4776,61.8,0.0,0.855607476635514,1.0,0.9518691588785047,93.5
2,4848,28.5,0.05714285714285714,0.9334112149532711,0.8285714285714285,0.8635180240320427,81.56
2,4868,10.2,0.056179775280898875,0.9761682242990655,0.8314606741573034,0.8796965242045575,83.75
2,4945,21.6,0.028169014084507043,0.9495327102803738,0.9154929577464788,0.9268395419244438,90.12
2,4973,130.2,0.0136986301369863,0.6957943925233645,0.958904109589041,0.8712008705671489,82.6
2,5022,117.6,0.024096385542168676,0.725233644859813,0.9277108433734939,0.8602184438689335,81.12
2,5151,83.7,0.07692307692307693,0.8044392523364486,0.7692307692307692,0.7809669302659956,70.41
2,5154,70.1,0.019801980198019802,0.836214953271028,0.9405940594059405,0.9058010240276364,87.27
2,5507,61.4,0.024096385542168676,0.8565420560747664,0.9277108433734939,0.903987914273918,87.03
2,5550,42.4,0.010638297872340425,0.9009345794392524,0.9680851063829786,0.9457015974017365,92.67
2,5581,81.8,0.0,0.8088785046728971,1.0,0.9362928348909657,91.39
2,5788,38.0,0.023809523809523808,0.9112149532710281,0.9285714285714286,0.9227859368046284,89.57
2,5834,56.8,0.02631578947368421,0.8672897196261682,0.9210526315789472,0.9031316609280208,86.91
2,5868,120.5,0.038461538461538464,0.7184579439252337,0.8846153846153845,0.8292295710520008,76.93
2,5940,0.8,0.0,0.9981308411214953,1.0,0.9993769470404985,99.92
2,6006,81.7,0.03125,0.8091121495327103,0.90625,0.8738707165109034,82.96
2,6013,19.9,0.034482758620689655,0.9535046728971963,0.8965517241379309,0.9155360403910194,88.59
2,6021,76.2,0.06796116504854369,0.8219626168224299,0.7961165048543688,0.8047318755103892,73.62
2,6058,40.0,0.011904761904761904,0.9065420560747663,0.9642857142857142,0.9450378282153982,92.58
2,6061,32.8,0.08955223880597014,0.9233644859813084,0.7313432835820896,0.7953503510484958,72.35
2,6101,78.4,0.0,0.8168224299065421,1.0,0.9389408099688474,91.75
2,6162,119.1,0.05,0.7217289719626168,0.85,0.8072429906542056,73.96
2,6437,100.9,0.03125,0.7642523364485981,0.90625,0.8589174454828661,80.94
2,6487,43.7,0.0425531914893617,0.8978971962616823,0.8723404255319148,0.8808593491085038,83.91
2,6488,78.3,0.009259259259259259,0.8170560747663551,0.9722222222222222,0.9205001730702664,89.26
2,6524,30.4,0.02857142857142857,0.9289719626168225,0.9142857142857143,0.9191811303960836,89.08
2,6550,32.0,0.010638297872340425,0.9252336448598131,0.9680851063829786,0.9538012858752568,93.76
